OPEN,HIGH,LOW,CLOSE,Volume,Dividends,Stock Splits,CODES,DATES,POSITIONS,COST,ASSETS
52.03,52.62,51.96,52.53,42351100,0.0,0,QQQ,2011-05-18,30.0,1558.68,1560.9
52.7,52.81,52.36,52.69,35015800,0.0,0,QQQ,2011-05-19,30.0,1558.68,1581.0
52.63,52.69,52.22,52.29,44703300,0.0,0,QQQ,2011-05-20,30.0,1558.68,1578.9
51.57,51.73,51.28,51.52,43700000,0.0,0,QQQ,2011-05-23,32.0,1661.8200000000002,1650.24
51.65,51.66,51.19,51.2,39314800,0.0,0,QQQ,2011-05-24,32.0,1661.8200000000002,1652.8
51.14,51.65,51.11,51.4,41369000,0.0,0,QQQ,2011-05-25,32.0,1661.8200000000002,1636.48
51.25,51.86,51.24,51.72,40564100,0.0,0,QQQ,2011-05-26,32.0,1661.8200000000002,1640.0
51.81,52.04,51.76,51.98,30127200,0.0,0,QQQ,2011-05-27,32.0,1661.8200000000002,1657.92
52.47,52.82,52.2,52.82,47590100,0.0,0,QQQ,2011-05-31,32.0,1661.8200000000002,1679.04
52.7,52.82,51.63,51.67,51795000,0.0,0,QQQ,2011-06-01,32.0,1661.8200000000002,1686.4
51.77,51.96,51.49,51.78,50198100,0.0,0,QQQ,2011-06-02,32.0,1661.8200000000002,1656.64
51.19,51.58,50.93,51.0,57773700,0.0,0,QQQ,2011-06-03,32.0,1661.8200000000002,1638.08
50.89,51.17,50.56,50.59,50175600,0.0,0,QQQ,2011-06-06,34.0,1763.6000000000001,1730.26
50.72,50.92,50.46,50.5,46311100,0.0,0,QQQ,2011-06-07,34.0,1763.6000000000001,1724.48
50.39,50.48,49.99,50.14,46426400,0.0,0,QQQ,2011-06-08,34.0,1763.6000000000001,1713.26
50.15,50.47,49.99,50.23,45307500,0.0,0,QQQ,2011-06-09,34.0,1763.6000000000001,1705.1
49.99,50.09,49.41,49.46,53740600,0.0,0,QQQ,2011-06-10,34.0,1763.6000000000001,1699.66
49.48,49.72,49.28,49.46,37736800,0.0,0,QQQ,2011-06-13,36.0,1862.5600000000002,1781.28
49.84,50.21,49.81,50.09,40565300,0.0,0,QQQ,2011-06-14,36.0,1862.5600000000002,1794.2400000000002
49.61,49.92,49.04,49.14,59022400,0.0,0,QQQ,2011-06-15,36.0,1862.5600000000002,1785.96
49.17,49.33,48.53,48.95,66316200,0.0,0,QQQ,2011-06-16,36.0,1862.5600000000002,1770.1200000000001
49.35,49.53,48.65,48.8,70337000,0.12,0,QQQ,2011-06-17,36.0,1862.5600000000002,1776.6000000000001
48.66,49.2,48.66,49.05,37402900,0.0,0,QQQ,2011-06-20,38.0,1959.88,1849.08
49.22,50.16,49.01,50.1,55892800,0.0,0,QQQ,2011-06-21,38.0,1959.88,1870.36
49.89,50.18,49.73,49.74,36833300,0.0,0,QQQ,2011-06-22,38.0,1959.88,1895.82
49.2,50.23,49.04,50.2,80743300,0.0,0,QQQ,2011-06-23,38.0,1959.88,1869.6000000000001
49.97,50.01,49.23,49.33,56298300,0.0,0,QQQ,2011-06-24,38.0,1959.88,1898.86
49.39,50.37,49.28,50.12,49968900,0.0,0,QQQ,2011-06-27,40.0,2058.6600000000003,1975.6
50.23,50.87,50.16,50.86,47028800,0.0,0,QQQ,2011-06-28,40.0,2058.6600000000003,2009.1999999999998
50.98,51.17,50.71,51.07,65407300,0.0,0,QQQ,2011-06-29,40.0,2058.6600000000003,2039.1999999999998
51.25,51.79,51.23,51.75,50347200,0.0,0,QQQ,2011-06-30,40.0,2058.6600000000003,2050.0
51.78,52.61,51.64,52.53,53203900,0.0,0,QQQ,2011-07-01,40.0,2058.6600000000003,2071.2
52.59,52.85,52.46,52.8,43128800,0.0,0,QQQ,2011-07-05,40.0,2058.6600000000003,2103.6000000000004
52.73,53.06,52.56,52.97,49282700,0.0,0,QQQ,2011-07-06,40.0,2058.6600000000003,2109.2
53.37,53.85,53.29,53.69,54799800,0.0,0,QQQ,2011-07-07,40.0,2058.6600000000003,2134.7999999999997
53.23,53.56,52.95,53.55,69519500,0.0,0,QQQ,2011-07-08,40.0,2058.6600000000003,2129.2
52.99,53.26,52.4,52.58,52080800,0.0,0,QQQ,2011-07-11,42.0,2164.6400000000003,2225.58
52.57,52.68,52.13,52.18,84000700,0.0,0,QQQ,2011-07-12,42.0,2164.6400000000003,2207.94
52.56,52.92,52.21,52.4,82378100,0.0,0,QQQ,2011-07-13,42.0,2164.6400000000003,2207.52
52.53,52.78,51.59,51.79,98774200,0.0,0,QQQ,2011-07-14,42.0,2164.6400000000003,2206.26
52.37,52.48,51.99,52.48,68281500,0.0,0,QQQ,2011-07-15,42.0,2164.6400000000003,2199.54
52.19,52.42,51.69,52.2,59512200,0.0,0,QQQ,2011-07-18,44.0,2269.0200000000004,2296.3599999999997
52.7,53.43,52.7,53.39,73904600,0.0,0,QQQ,2011-07-19,44.0,2269.0200000000004,2318.8
53.69,53.69,53.07,53.16,57085500,0.0,0,QQQ,2011-07-20,44.0,2269.0200000000004,2362.3599999999997
53.21,53.81,52.92,53.51,70148800,0.0,0,QQQ,2011-07-21,44.0,2269.0200000000004,2341.2400000000002
53.49,54.16,53.45,54.07,43620400,0.0,0,QQQ,2011-07-22,44.0,2269.0200000000004,2353.56
53.64,54.26,53.54,53.96,48916100,0.0,0,QQQ,2011-07-25,46.0,2376.3000000000006,2467.44
53.92,54.28,53.81,54.09,40918900,0.0,0,QQQ,2011-07-26,46.0,2376.3000000000006,2480.32
53.74,53.79,52.56,52.7,83969500,0.0,0,QQQ,2011-07-27,46.0,2376.3000000000006,2472.04
52.72,53.46,52.52,52.79,61031900,0.0,0,QQQ,2011-07-28,46.0,2376.3000000000006,2425.12
52.36,53.17,52.11,52.62,82860500,0.0,0,QQQ,2011-07-29,46.0,2376.3000000000006,2408.56
53.25,53.36,51.74,52.37,85421100,0.0,0,QQQ,2011-08-01,48.0,2482.8000000000006,2556.0
52.13,52.36,50.99,51.05,90853300,0.0,0,QQQ,2011-08-02,48.0,2482.8000000000006,2502.2400000000002
51.11,51.6,50.21,51.54,103612300,0.0,0,QQQ,2011-08-03,48.0,2482.8000000000006,2453.2799999999997
50.8,50.88,49.14,49.14,132830000,0.0,0,QQQ,2011-08-04,48.0,2482.8000000000006,2438.3999999999996
